date,date,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover_rate,fetch_time
2025-01-02,,5.654,5.656,5.426,5.484,,4351665.0,,,,,2026-02-13 14:38:29
2025-01-03,,5.479,5.512,5.351,5.37,,4461330.0,,,,,2026-02-13 14:38:29
2025-01-06,,5.362,5.415,5.318,5.357,,3302311.0,,,,,2026-02-13 14:38:29
2025-01-07,,5.358,5.416,5.331,5.415,,4055360.0,,,,,2026-02-13 14:38:29
2025-01-08,,5.397,5.439,5.257,5.392,,4236655.0,,,,,2026-02-13 14:38:29
2025-01-09,,5.372,5.426,5.368,5.388,,2684390.0,,,,,2026-02-13 14:38:29
2025-01-10,,5.384,5.433,5.303,5.306,,2313565.0,,,,,2026-02-13 14:38:29
2025-01-13,,5.258,5.356,5.257,5.315,,2985827.0,,,,,2026-02-13 14:38:29
2025-01-14,,5.328,5.522,5.303,5.502,,5016496.0,,,,,2026-02-13 14:38:29
2025-01-15,,5.492,5.499,5.446,5.457,,4353645.0,,,,,2026-02-13 14:38:29
2025-01-16,,5.48,5.571,5.438,5.475,,5068270.0,,,,,2026-02-13 14:38:29
2025-01-17,,5.448,5.559,5.448,5.519,,2755505.0,,,,,2026-02-13 14:38:29
2025-01-20,,5.553,5.604,5.531,5.546,,3234081.0,,,,,2026-02-13 14:38:29
2025-01-21,,5.568,5.583,5.505,5.566,,3450430.0,,,,,2026-02-13 14:38:29
2025-01-22,,5.549,5.557,5.497,5.545,,3212695.0,,,,,2026-02-13 14:38:29
2025-01-23,,5.588,5.662,5.518,5.522,,4192641.0,,,,,2026-02-13 14:38:29
2025-01-24,,5.507,5.601,5.506,5.59,,5009241.0,,,,,2026-02-13 14:38:29
2025-01-27,,5.597,5.613,5.52,5.523,,4883961.0,,,,,2026-02-13 14:38:29
2025-02-05,,5.576,5.581,5.52,5.546,,2639928.0,,,,,2026-02-13 14:38:29
2025-02-06,,5.536,5.687,5.528,5.678,,4672607.0,,,,,2026-02-13 14:38:29
2025-02-07,,5.682,5.834,5.672,5.769,,4842323.0,,,,,2026-02-13 14:38:29
2025-02-10,,5.781,5.829,5.768,5.82,,4069189.0,,,,,2026-02-13 14:38:29
2025-02-11,,5.819,5.837,5.757,5.797,,2711553.0,,,,,2026-02-13 14:38:29
2025-02-12,,5.777,5.881,5.777,5.874,,2615958.0,,,,,2026-02-13 14:38:29
2025-02-13,,5.872,5.893,5.824,5.845,,2836255.0,,,,,2026-02-13 14:38:29
2025-02-14,,5.829,5.9,5.824,5.891,,3231129.0,,,,,2026-02-13 14:38:29
2025-02-17,,5.911,5.92,5.838,5.882,,3692692.0,,,,,2026-02-13 14:38:29
2025-02-18,,5.861,5.885,5.748,5.782,,3047851.0,,,,,2026-02-13 14:38:29
2025-02-19,,5.771,5.883,5.768,5.875,,3187797.0,,,,,2026-02-13 14:38:29
2025-02-20,,5.873,5.913,5.852,5.89,,3821242.0,,,,,2026-02-13 14:38:29
2025-02-21,,5.905,6.006,5.877,5.992,,3384487.0,,,,,2026-02-13 14:38:29
2025-02-24,,5.986,6.008,5.937,5.974,,4034275.0,,,,,2026-02-13 14:38:29
2025-02-25,,5.925,5.973,5.893,5.911,,2809776.0,,,,,2026-02-13 14:38:29
2025-02-26,,5.925,5.994,5.903,5.983,,3356211.0,,,,,2026-02-13 14:38:29
2025-02-27,,5.972,5.996,5.877,5.967,,3013502.0,,,,,2026-02-13 14:38:29
2025-02-28,,5.929,5.938,5.785,5.805,,3140821.0,,,,,2026-02-13 14:38:29
2025-03-03,,5.805,5.902,5.789,5.815,,2773490.0,,,,,2026-02-13 14:38:29
2025-03-04,,5.777,5.882,5.77,5.867,,2026357.0,,,,,2026-02-13 14:38:29
2025-03-05,,5.87,5.892,5.819,5.882,,2454551.0,,,,,2026-02-13 14:38:29
2025-03-06,,5.908,6.003,5.904,5.977,,4029340.0,,,,,2026-02-13 14:38:29
2025-03-07,,5.959,5.998,5.925,5.951,,3157096.0,,,,,2026-02-13 14:38:29
2025-03-10,,5.946,5.969,5.899,5.944,,3345878.0,,,,,2026-02-13 14:38:29
2025-03-11,,5.884,5.977,5.881,5.974,,1617295.0,,,,,2026-02-13 14:38:29
2025-03-12,,5.987,6.036,5.969,5.978,,2047492.0,,,,,2026-02-13 14:38:29
2025-03-13,,5.968,5.986,5.878,5.927,,2125910.0,,,,,2026-02-13 14:38:29
2025-03-14,,5.93,6.038,5.91,6.036,,4824885.0,,,,,2026-02-13 14:38:29
2025-03-17,,6.048,6.059,6.025,6.038,,3835627.0,,,,,2026-02-13 14:38:29
2025-03-18,,6.05,6.104,6.046,6.064,,1786536.0,,,,,2026-02-13 14:38:29
2025-03-19,,6.053,6.064,6.006,6.04,,1508335.0,,,,,2026-02-13 14:38:29
2025-03-20,,6.037,6.043,5.993,5.998,,2623956.0,,,,,2026-02-13 14:38:29
2025-03-21,,5.971,6.004,5.888,5.906,,2455737.0,,,,,2026-02-13 14:38:29
2025-03-24,,5.908,5.917,5.821,5.899,,2315640.0,,,,,2026-02-13 14:38:29
2025-03-25,,5.895,5.922,5.859,5.879,,1978020.0,,,,,2026-02-13 14:38:29
2025-03-26,,5.871,5.921,5.871,5.879,,1918078.0,,,,,2026-02-13 14:38:29
2025-03-27,,5.875,5.938,5.822,5.894,,2122545.0,,,,,2026-02-13 14:38:29
2025-03-28,,5.891,5.91,5.835,5.847,,1995542.0,,,,,2026-02-13 14:38:29
2025-03-31,,5.819,5.846,5.734,5.792,,1817963.0,,,,,2026-02-13 14:38:29
2025-04-01,,5.802,5.868,5.797,5.824,,1740931.0,,,,,2026-02-13 14:38:29
2025-04-02,,5.817,5.876,5.807,5.831,,1784233.0,,,,,2026-02-13 14:38:29
2025-04-03,,5.783,5.845,5.754,5.78,,2664772.0,,,,,2026-02-13 14:38:29
2025-04-07,,5.558,5.6,5.196,5.218,,4617801.0,,,,,2026-02-13 14:38:29
2025-04-08,,5.25,5.309,5.188,5.251,,30285654.0,,,,,2026-02-13 14:38:29
2025-04-09,,5.193,5.395,5.077,5.366,,3538250.0,,,,,2026-02-13 14:38:29
2025-04-10,,5.441,5.547,5.439,5.473,,2669818.0,,,,,2026-02-13 14:38:29
2025-04-11,,5.448,5.566,5.447,5.511,,2220743.0,,,,,2026-02-13 14:38:29
2025-04-14,,5.553,5.59,5.538,5.555,,2150627.0,,,,,2026-02-13 14:38:29
2025-04-15,,5.553,5.557,5.5,5.532,,3207385.0,,,,,2026-02-13 14:38:29
2025-04-16,,5.496,5.519,5.428,5.483,,6661825.0,,,,,2026-02-13 14:38:29
2025-04-17,,5.462,5.541,5.458,5.486,,2247617.0,,,,,2026-02-13 14:38:29
2025-04-18,,5.478,5.514,5.457,5.488,,2950684.0,,,,,2026-02-13 14:38:29
2025-04-21,,5.482,5.579,5.46,5.57,,2567589.0,,,,,2026-02-13 14:38:29
2025-04-22,,5.557,5.583,5.545,5.555,,1434074.0,,,,,2026-02-13 14:38:29
2025-04-23,,5.577,5.621,5.546,5.566,,2331671.0,,,,,2026-02-13 14:38:29
2025-04-24,,5.566,5.582,5.515,5.543,,1605892.0,,,,,2026-02-13 14:38:29
2025-04-25,,5.548,5.6,5.53,5.559,,2041463.0,,,,,2026-02-13 14:38:29
2025-04-28,,5.558,5.563,5.514,5.533,,2026017.0,,,,,2026-02-13 14:38:29
2025-04-29,,5.508,5.56,5.502,5.536,,1247374.0,,,,,2026-02-13 14:38:29
2025-04-30,,5.536,5.58,5.535,5.564,,2073912.0,,,,,2026-02-13 14:38:29
2025-05-06,,5.593,5.673,5.591,5.671,,1856919.0,,,,,2026-02-13 14:38:29
