date,date,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover_rate,fetch_time
2021-07-19,,0.97,0.988,0.97,0.984,697276.0,68524230.0,1.85,1.34,0.013,2.11,2026-03-03 08:40:55
2021-07-20,,0.975,0.995,0.975,0.988,410428.0,40456496.0,2.03,0.41,0.004,1.24,2026-03-03 08:40:55
2021-07-21,,0.999,0.999,0.985,0.995,164230.0,16267784.0,1.42,0.71,0.007,0.5,2026-03-03 08:40:55
2021-07-22,,0.996,0.997,0.973,0.977,276474.0,27146486.0,2.41,-1.81,-0.018,0.84,2026-03-03 08:40:55
2021-07-23,,0.977,0.977,0.937,0.943,198675.0,18838183.0,4.09,-3.48,-0.034,0.6,2026-03-03 08:40:55
2021-07-26,,0.928,0.95,0.867,0.884,247888.0,22140864.0,8.8,-6.26,-0.059,0.75,2026-03-03 08:40:55
2021-07-27,,0.878,0.892,0.866,0.867,187370.0,16470667.0,2.94,-1.92,-0.017,0.57,2026-03-03 08:40:55
2021-07-28,,0.867,0.902,0.859,0.9,204295.0,17885676.0,4.96,3.81,0.033,0.62,2026-03-03 08:40:55
2021-07-29,,0.908,0.929,0.908,0.923,89783.0,8265546.0,2.33,2.56,0.023,0.27,2026-03-03 08:40:55
2021-07-30,,0.918,0.925,0.882,0.899,102534.0,9189093.0,4.66,-2.6,-0.024,0.31,2026-03-03 08:40:55
2021-08-02,,0.899,0.913,0.866,0.91,116344.0,10329727.0,5.23,1.22,0.011,0.35,2026-03-03 08:40:55
2021-08-03,,0.91,0.951,0.898,0.945,134311.0,12501368.0,5.82,3.85,0.035,0.41,2026-03-03 08:40:55
2021-08-04,,0.945,0.945,0.91,0.936,99362.0,9247631.0,3.7,-0.95,-0.009,0.3,2026-03-03 08:40:55
2021-08-05,,0.936,0.943,0.921,0.927,133097.0,12362492.0,2.35,-0.96,-0.009,0.4,2026-03-03 08:40:55
2021-08-06,,0.927,0.927,0.893,0.901,168939.0,15277216.0,3.67,-2.8,-0.026,0.51,2026-03-03 08:40:55
