date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-02-01,102.466,102.445,103.155,101.967,58861,646657616.0,1.16,-0.04,-0.041,3.06
2024-02-02,102.378,102.371,102.484,102.227,22525,247523062.0,0.25,-0.07,-0.074,1.17
2024-02-05,103.2,103.478,103.489,102.8,33531,371495774.0,0.67,1.08,1.107,1.74
2024-02-06,103.267,102.732,103.422,102.2,37348,412726846.0,1.18,-0.72,-0.746,1.94
2024-02-07,102.265,102.998,103.256,102.201,25783,284411913.0,1.03,0.26,0.266,1.34
2024-02-08,103.051,102.773,103.38,102.608,40574,448603493.0,0.75,-0.22,-0.225,2.11
2024-02-19,102.588,102.97,102.98,102.29,26159,288359816.0,0.67,0.19,0.197,1.36
2024-02-20,103.094,103.389,103.4,103.088,26672,295472039.0,0.3,0.41,0.419,1.39
2024-02-21,103.52,103.495,103.69,103.243,34775,385892311.0,0.43,0.1,0.106,1.81
2024-02-22,103.47,103.525,103.54,103.376,34317,380838819.0,0.16,0.03,0.03,1.79
2024-02-23,103.74,104.058,104.086,103.638,28111,313071364.0,0.43,0.51,0.533,1.46
2024-02-26,103.996,104.5,104.558,103.968,31044,346827565.0,0.57,0.42,0.442,1.61
2024-02-27,105.09,105.374,105.469,105.008,54706,617397484.0,0.44,0.84,0.874,2.85
2024-02-28,105.277,105.484,105.492,105.039,51342,579070768.0,0.43,0.1,0.11,2.67
2024-02-29,105.948,106.635,106.643,105.788,57743,656683045.0,0.81,1.09,1.151,3.0
2024-03-01,106.285,105.55,106.635,105.379,65764,746049924.0,1.18,-1.02,-1.085,3.42
2024-03-04,105.578,106.23,106.299,105.551,79654,905032883.0,0.71,0.64,0.68,4.14
2024-03-05,106.15,106.169,106.399,106.116,66030,751029476.0,0.27,-0.06,-0.061,3.43
2024-03-06,106.255,106.991,107.018,106.205,70554,804937896.0,0.77,0.77,0.822,3.67
2024-03-07,107.68,107.383,107.78,106.75,78044,896960098.0,0.96,0.37,0.392,4.06
2024-03-08,107.421,107.295,107.748,107.058,75202,863629483.0,0.64,-0.08,-0.088,3.91
2024-03-11,107.28,106.47,107.282,106.45,73840,844335672.0,0.78,-0.77,-0.825,3.84
2024-03-12,105.989,104.964,105.989,104.933,105827,1194601517.0,0.99,-1.41,-1.506,5.5
2024-03-13,104.499,104.714,104.798,103.622,84477,943790108.0,1.12,-0.24,-0.25,4.39
2024-03-14,104.709,104.781,105.16,104.168,71270,800555940.0,0.95,0.06,0.067,3.71
2024-03-15,104.857,105.328,105.499,104.857,86503,975676725.0,0.61,0.52,0.547,4.5
2024-03-18,105.386,105.689,105.7,105.291,71046,803489720.0,0.39,0.34,0.361,3.7
2024-03-19,106.015,106.881,106.988,105.98,84424,961207557.0,0.95,1.13,1.192,4.39
2024-03-20,106.65,106.567,106.926,106.35,75961,867130380.0,0.54,-0.29,-0.314,3.95
2024-03-21,106.27,106.418,106.64,105.901,79743,907536451.0,0.69,-0.14,-0.149,4.15
2024-03-22,106.8,106.267,106.92,105.988,64054,730765216.0,0.88,-0.14,-0.151,3.33
2024-03-25,105.846,105.656,106.211,105.533,62647,709990430.0,0.64,-0.57,-0.611,3.26
2024-03-26,105.656,105.714,105.9,105.609,48819,552626650.0,0.28,0.05,0.058,2.54
2024-03-27,105.716,105.948,106.01,105.651,51860,587474679.0,0.34,0.22,0.234,2.7
2024-03-28,106.316,106.356,106.545,106.0,55800,635461012.0,0.51,0.39,0.408,2.9
2024-03-29,106.201,106.493,106.5,106.046,59318,674936117.0,0.43,0.13,0.137,3.09
2024-04-01,106.077,105.955,106.199,105.885,56568,642025778.0,0.29,-0.51,-0.538,2.94
2024-04-02,106.017,105.917,106.18,105.857,78208,888073525.0,0.3,-0.04,-0.038,4.07
2024-04-03,106.17,106.459,106.495,106.084,58247,663046169.0,0.39,0.51,0.542,3.03
2024-04-08,106.551,106.383,106.69,106.219,53550,609844348.0,0.44,-0.07,-0.076,2.79
2024-04-09,106.421,106.494,106.54,106.308,45307,516280060.0,0.22,0.1,0.111,2.36
2024-04-10,106.35,106.179,106.35,106.051,51836,589164037.0,0.28,-0.3,-0.315,2.7
