date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,0.501,0.493,0.504,0.492,32368599,1605407187.0,2.42,-0.6,-0.003,4.71
2024-01-03,0.488,0.486,0.489,0.484,26394933,1282950122.0,1.01,-1.42,-0.007,3.84
2024-01-04,0.488,0.488,0.489,0.483,28771698,1397724798.0,1.23,0.41,0.002,4.19
2024-01-05,0.485,0.479,0.49,0.478,34915557,1689421562.0,2.46,-1.84,-0.009,5.09
2024-01-08,0.478,0.465,0.478,0.464,32858024,1536415258.0,2.92,-2.92,-0.014,4.79
2024-01-09,0.467,0.464,0.473,0.462,36060941,1685389807.0,2.37,-0.22,-0.001,5.25
2024-01-10,0.46,0.457,0.465,0.456,34766887,1599695721.0,1.94,-1.51,-0.007,5.06
2024-01-11,0.459,0.47,0.472,0.458,45099150,2100744415.0,3.06,2.84,0.013,6.57
2024-01-12,0.464,0.463,0.471,0.462,27379999,1276115343.0,1.91,-1.49,-0.007,3.99
2024-01-15,0.461,0.454,0.461,0.452,36998568,1689347525.0,1.94,-1.94,-0.009,5.39
2024-01-16,0.451,0.446,0.456,0.443,40034728,1797494933.0,2.86,-1.76,-0.008,5.83
2024-01-17,0.442,0.421,0.442,0.421,55343421,2382707418.0,4.71,-5.61,-0.025,8.06
2024-01-18,0.424,0.428,0.43,0.419,64218557,2726048584.0,2.61,1.66,0.007,9.35
2024-01-19,0.426,0.416,0.431,0.416,39472939,1674690347.0,3.5,-2.8,-0.012,5.75
2024-01-22,0.421,0.405,0.423,0.401,52967509,2178537520.0,5.29,-2.64,-0.011,7.71
2024-01-23,0.409,0.421,0.427,0.407,73359151,3071283727.0,4.94,3.95,0.016,10.68
2024-01-24,0.43,0.43,0.435,0.419,60483364,2582270699.0,3.8,2.14,0.009,8.81
2024-01-25,0.434,0.44,0.443,0.428,51815403,2261348166.0,3.49,2.33,0.01,7.55
2024-01-26,0.437,0.427,0.437,0.423,50433224,2171533781.0,3.18,-2.95,-0.013,7.35
2024-01-29,0.428,0.426,0.435,0.424,43703887,1875187995.0,2.58,-0.23,-0.001,6.37
2024-01-30,0.419,0.413,0.422,0.412,33528395,1396741474.0,2.35,-3.05,-0.013,4.88
2024-01-31,0.41,0.4,0.415,0.399,52464748,2127638037.0,3.87,-3.15,-0.013,7.64
2024-02-01,0.403,0.407,0.416,0.401,61038201,2495793159.0,3.75,1.75,0.007,8.89
2024-02-02,0.415,0.406,0.421,0.401,64624498,2655523915.0,4.91,-0.25,-0.001,9.41
2024-02-05,0.399,0.405,0.412,0.398,66402232,2688043925.0,3.45,-0.25,-0.001,9.67
2024-02-06,0.407,0.431,0.432,0.406,75241975,3155938745.0,6.42,6.42,0.026,10.96
2024-02-07,0.435,0.424,0.44,0.421,70348464,3025978635.0,4.41,-1.62,-0.007,10.25
2024-02-08,0.423,0.422,0.429,0.42,57081013,2421196970.0,2.12,-0.47,-0.002,8.31
2024-02-19,0.437,0.433,0.438,0.43,37715946,1633781630.0,1.9,2.61,0.011,5.49
2024-02-20,0.436,0.432,0.438,0.426,30184321,1297936660.0,2.77,-0.23,-0.001,4.4
2024-02-21,0.429,0.448,0.454,0.428,66527765,2958429352.0,6.02,3.7,0.016,9.69
2024-02-22,0.445,0.451,0.451,0.441,37738247,1685765689.0,2.23,0.67,0.003,5.5
2024-02-23,0.45,0.452,0.458,0.447,40104764,1809562869.0,2.44,0.22,0.001,5.84
2024-02-26,0.45,0.45,0.455,0.448,39158852,1766900153.0,1.55,-0.44,-0.002,5.7
2024-02-27,0.453,0.46,0.46,0.448,49541927,2250820082.0,2.67,2.22,0.01,7.22
2024-02-28,0.467,0.454,0.471,0.454,48246939,2235226421.0,3.7,-1.3,-0.006,7.03
2024-02-29,0.45,0.458,0.46,0.45,46839021,2130268711.0,2.2,0.88,0.004,6.82
2024-03-01,0.452,0.461,0.463,0.45,55730109,2549591528.0,2.84,0.66,0.003,8.12
2024-03-04,0.462,0.457,0.464,0.454,44984626,2065634579.0,2.17,-0.87,-0.004,6.55
2024-03-05,0.448,0.442,0.451,0.441,46803311,2085127393.0,2.19,-3.28,-0.015,6.82
2024-03-06,0.442,0.451,0.457,0.441,53686348,2408170317.0,3.62,2.04,0.009,7.82
2024-03-07,0.453,0.442,0.457,0.442,36449569,1637502615.0,3.33,-2.0,-0.009,5.31
2024-03-08,0.444,0.451,0.453,0.444,36966379,1661366247.0,2.04,2.04,0.009,5.38
2024-03-11,0.452,0.459,0.46,0.451,31780324,1451094751.0,2.0,1.77,0.008,4.63
2024-03-12,0.464,0.481,0.481,0.461,61473291,2905329458.0,4.36,4.79,0.022,8.95
2024-03-13,0.482,0.483,0.49,0.481,47520016,2308369662.0,1.87,0.42,0.002,6.92
2024-03-14,0.485,0.474,0.488,0.472,40529682,1939385227.0,3.31,-1.86,-0.009,5.9
